"Id","Value","DisplayName","Description"
"2adb0da9-d999-4186-85a4-0b66bbd9a535","NetworkScanAgent.Operate","NetworkScanAgent.Operate","Used to get token for agent to get network scan tasks"
"898f9f5d-bf7c-4bf5-97ed-39cda772c50a","PushChannel.ReadWrite.All","Connect to PushChannel","Allows the user to connect to PushChannel for Fluid applications"
"7ed1102e-6cd7-4ad1-86d4-7d54c6550141","ResourceAccessFlag.Write","ResourceAccessFlag.Write","Provides access to refresh access flag of Project resources"
"cfbd1345-3cf0-408c-8c99-1491bde7ce52","EopDataInsights.AccessAsApp","EopDataInsights.AccessAsApp","EopDataInsights.AccessAsApp"
"26872368-3756-4995-a1d0-73cfa9d8f83a","M365ContentExplorer.Read.All","M365ContentExplorer.Read.All","M365ContentExplorer.Read.All"
"06ab0d31-7112-476e-a479-66394bec63d6","MessageTrace.Read.All","MessageTrace.Read.All","MessageTrace.Read.All"
"3e4e080e-55db-4fa9-8d68-0d9199d4c792","QuarantinedMessage.Read.All","QuarantinedMessage.Read.All","QuarantinedMessage.Read.All"
"cc02f7ae-3d9b-42c9-bc91-3424d92c5547","AirAdminAction.tenant.read","AirAdminAction.tenant.read","This allows the app to read AirAdminAction alerts"
"43f2aa58-36d7-421e-8628-fbe9b129bf76","AirAdminAction.tenant.write","AirAdminAction.tenant.write","This allows apps to write the AirAdminAction alerts"
"27787a44-0423-4f0d-a417-1276c93397fb","TenantLicenseStatus.Read.All","TenantLicenseStatus.Read.All","TenantLicenseStatus.Read.All"
"092afc53-fa1b-44c3-9fdf-46fcd25a5d99","Relocation.ReadWrite.All","Relocation.ReadWrite.All","Relocation.ReadWrite.All"
"926c05c5-5941-491b-973a-509c2a4a2542","AzureActivityData.Read.All","AzureActivityData.Read.All","AzureActivityData.Read.All"
"a585dd3a-70b6-4ff4-a1b9-093b4214e7e4","OcrBillingConfiguration-Internal.Write.All","OcrBillingConfiguration-Internal.Write.All","OcrBillingConfiguration-Internal.Write.All"
"9760b448-d4d4-478b-bebc-0ebe62c935c9","AuditProvisioningData.Tenant.Read","AuditProvisioningData.Tenant.Read","AuditProvisioningData.Tenant.Read"
"67a4e76f-5125-4b64-bcd6-b42a60d47dbe","Purview.DataAccess.All","Purview.DataAccess.All","Purview.DataAccess.All"
"43e3dfa5-222e-4a48-8253-d36086c5558c","Alert.Read.All","Alert.Read.All","Alert.Read.All"
"5f124282-d2c3-47dd-87ff-106ba9aa079b","MtpMailboxRuleAction.tenant.write","MtpMailboxRuleAction.tenant.write","MtpMailboxRuleAction.tenant.write"
"ca69fdfa-5ba6-4c33-9eac-013653c2c3af","MtpMailboxRuleAction.tenant.read","MtpMailboxRuleAction.tenant.read","MtpMailboxRuleAction.tenant.read"
"182f95e9-8c6f-4c32-8de2-e1abc1fe6ea4","DataInsightsSubscription.tenant.write","DataInsightsSubscription.tenant.write","DataInsightsSubscription.tenant.write"
"bfeb98e9-5067-42b0-a7df-9022b927a10e","DataInsightsSubscription.tenant.read","DataInsightsSubscription.tenant.read","DataInsightsSubscription.tenant.read"
"59c90462-e42e-4698-8a51-196ebd407166","compliancestatus.tenant.read","compliancestatus.tenant.read","compliancestatus.tenant.read"
"39de55cd-e81d-4d2a-880d-3872c4fb992d","RecipientBatch.tenant.write","RecipientBatch.tenant.write","RecipientBatch.tenant.write"
"0eabd45c-e771-460d-a601-2d534e78a1be","DataInsightsUsersData.tenant.read","DataInsightsUsersData.tenant.read","DataInsightsUsersData.tenant.read"
"e0ff780c-d4f4-4ef4-b0ad-b19863ca72a2","UsersAggregateByAttackSimulation.tenant.read","UsersAggregateByAttackSimulation.tenant.read","UsersAggregateByAttackSimulation.tenant.read"
"81eac90b-5b5b-422f-8d2a-9bc2055c5453","Recipient.tenant.read","Recipient.tenant.read","Recipient.tenant.read"
"7b67f132-5c43-45cb-8cc3-e78fd80d0776","Recipient.tenant.write","Recipient.tenant.write","Recipient.tenant.write"
"06c43929-37aa-4707-ae05-68d6d967953e","AttackSimulationData.tenant.read","AttackSimulationData.tenant.read","AttackSimulationData.tenant.read"
"38b568f3-92e4-4c17-92b7-a49c28904247","TiRemediation.ReadWrite.All","TiRemediation.ReadWrite.All","TiRemediation.ReadWrite.All"
"5c6799ba-41c0-49cc-9f2d-7486a52d52a0","TiRemediation.Read.All","TiRemediation.Read.All","TiRemediation.Read.All"
"dac43cb8-9b13-43b1-bc17-e7eb8fe26717","RemediationEmailResult.ReadWrite.All","RemediationEmailResult.ReadWrite.All","RemediationEmailResult.ReadWrite.All"
"cae0e51f-af85-4f35-870d-9f024147648d","RemediationEmailResult.Read.All","RemediationEmailResult.Read.All","RemediationEmailResult.Read.All"
"ba4ca83c-e834-4e66-bfe1-df738f63b557","activitydata.tenant.read","activitydata.tenant.read","activitydata.tenant.read"
"57fee0bb-e97d-4e5c-a663-2b0c7ce0db37","InsiderRiskData.Read.All","InsiderRiskData.Read.All","InsiderRiskData.Read.All"
"f9d2daf6-8028-48d1-b4c1-b963f7ae7a73","AggConsumptionBillingReport.Read.All","AggConsumptionBillingReport.Read.All","AggConsumptionBillingReport.Read.All"
"15188c9e-7879-4e83-9d63-c728da8feb0d","DynamicRiskPreventionTag.Tenant.Write","DynamicRiskPreventionTag.Tenant.Write","DynamicRiskPreventionTag.Tenant.Write"
"f63db487-96bf-49af-8a79-faa86287aee6","DynamicRiskPreventionTag.Tenant.Read","DynamicRiskPreventionTag.Tenant.Read","DynamicRiskPreventionTag.Tenant.Read"
"944c8d5a-fdcd-4aac-af4d-3366942700d5","ThreatSubmission.ReadWrite.All","ThreatSubmission.ReadWrite.All","ThreatSubmission.ReadWrite.All"
"e0ba9b2a-a247-4d95-bca6-43211b61057f","CustomTag.Tenant.Read","CustomTag.Tenant.Read","CustomTag.Tenant.Read"
"92b5621e-0e43-46c9-b830-bc26b325a150","CustomTag.Tenant.Write","CustomTag.Tenant.Write","CustomTag.Tenant.Write"
"85e837d7-9e4b-4bb2-9535-08bb51aa974a","MessageTraceDetail.tenant.read","MessageTraceDetail.tenant.read","MessageTraceDetail.tenant.read"
"03f3ead7-60e6-4522-847b-8a67bb9c50df","OneCyberRelocationData.tenant.write","OneCyberRelocationData.tenant.write","This allows apps to write the OneCyberRelocationData"
"9b31c028-bb6a-4d1a-8295-4514d184c061","OneCyberRelocationData.tenant.read","OneCyberRelocationData.tenant.read","This allows apps to read the OneCyberRelocationData"
"86e9643d-f798-40d2-98bb-293a7daaa2d7","MtpAction.tenant.read","MtpAction.tenant.read","This allows apps to read the MtpAction"
"e6e79fef-f4ee-4f93-aec3-3f0001087066","MtpAction.tenant.write","MtpAction.tenant.write","This allows apps to write the MtpAction"
"723c28f9-60b9-4cd4-8b04-6d344a3c4d84","alert.tenant.write","alert.tenant.write","This allows to change any Office 365 alerts belong to the tenant."
"d91202fb-0f5f-4245-8148-dfe12af913e6","alert.tenant.read","alert.tenant.read","This allows to read tenant Office 365 alerts."
"74450f94-a5b1-4243-a991-9a688375883f","mtpstatus.tenant.read","mtpstatus.tenant.read","Allow o365 applications to read MTP Status"
"51aa070e-cc8b-45a9-8530-3fc96b0aa701","messageeventsummary.tenant.read","messageeventsummary.tenant.read","This scope allows Apps to read tenant's MessageEventSummary data"
"24c052b7-e297-4369-b344-e4b62baa3fca","reducedrecipient.read.all","reducedrecipient.read.all","this allows to read reducedrecipient"
"abe60d99-0a67-4250-afc0-290614d84b41","RoleGroupMember.tenant.write","RoleGroupMember.tenant.write","This allows to change RoleGroupMember to the tenant"
"6c68db0a-4608-48d3-b0bf-4d0917b88bef","PolicyStatusSummary-Internal.Write.All","PolicyStatusSummary-Internal.Write.All","PolicyStatusSummary-Internal.Write.All"
"91d6f071-cbcb-48b9-baba-557f0f1f46ac","user.delete","delete user partition","Allow the Application to delete user partition"
"91d6f071-cbcb-48b9-baba-557f0f1f41ac","thread.delete","Delete thread partition","This allows the application to delete a thread partition"
"83262d98-99cb-496d-8da9-e0ceed85d0ed","AzureEventGridSecureWebhookSubscriber","AzureEventGridSecureWebhookSubscriber","Azure Event Grid Role"
"9dc589c5-a8c4-48f9-b5ed-45e837c109c1","allareas.admin","All Areas Admin","Admin of all areas"
"c4850657-e464-465e-a229-11c7fed2cf7e","dataflow.s2s","Dataflow Application","An S2S dataflow application"
"ea3d980d-ebc7-4be4-8298-a167e5b8797c","Exchange.ManageAsAppV2","Manage Exchange as application v2","Allows the app to manage a limited set of Exchange Online configuration objects without user interaction, for specific scenarios supported by the adminapi/v2.0 endpoint. To enable management actions an admin must also assign the appropriate Exchange RBAC roles directly to the app."
"dc50a0fb-09a3-484d-be87-e023b12c6440","Exchange.ManageAsApp","Manage Exchange As Application","Allows the app to manage the organization's Exchange environment without any user interaction. This includes mailboxes, groups, and other configuration objects. To enable management actions, an admin must assign the appropriate roles directly to the app."
"4830e04b-48ac-4de5-bbd9-8aceb58e506b","Place.Read.All","Read all company places","Allows the app to read company places (conference rooms and room lists) for calendar events and other applications, without a signed-in user."
"2dfdc6dc-2fa7-4a2c-a922-dbd4f85d17be","Calendars.Read.All","Read calendars in all mailboxes","Allows the app to read events of all R without a signed-in user"
"ef54d2bf-783f-4e0f-bca1-3210c0444d99","Calendars.ReadWrite.All","Read and write calendars in all mailboxes","Allows the app to create, read, update, and delete events of all calendars without a signed-in user."
"2c6a42ca-0d4d-49ad-bc0e-21222c449a65","Tasks.ReadWrite","Read and write tasks in all mailboxes","Allows the app to create, read, update, and delete tasks in all mailboxes without a signed-in user."
"c1b0de0a-1de9-455d-919f-eca451053141","Tasks.Read","Read user tasks in all mailboxes","Allows the app to read user tasks in all mailboxes without a signed-in user."
"f9156939-25cd-4ba8-abfe-7fabcf003749","MailboxSettings.ReadWrite","Read and write all user mailbox settings","Allows the app to create, read, update, and delete user's mailbox settings without a signed-in user. Does not include permission to send mail."
"6918b873-d17a-4dc1-b314-35f528134491","Contacts.ReadWrite","Read and write contacts in all mailboxes","Allows the app to create, read, update, and delete all contacts in all mailboxes without a signed-in user."
"e2a3a72e-5f79-4c64-b1b1-878b674786c9","Mail.ReadWrite","Read and write mail in all mailboxes","Allows the app to create, read, update, and delete mail in all mailboxes without a signed-in user. Does not include permission to send mail."
"810c84a8-4a9e-49e6-bf7d-12d183f40d01","Mail.Read","Read mail in all mailboxes","Allows the app to read mail in all mailboxes without a signed-in user."
"089fe4d0-434a-44c5-8827-41ba8a0b17f5","Contacts.Read","Read contacts in all mailboxes","Allows the app to read all contacts in all mailboxes without a signed-in user."
"798ee544-9d2d-430c-a058-570e29e34338","Calendars.Read","Read calendars in all mailboxes","Allows the app to read events of all calendars without a signed-in user."
"b633e1c5-b582-4048-a93e-9f11b44c7e96","Mail.Send","Send mail as any user","Allows the app to send mail as any user without a signed-in user."
"dc890d15-9560-4a4c-9b7f-a736ec74ec40","full_access_as_app","Use Exchange Web Services with full access to all mailboxes","Allows the app to have full access via Exchange Web Services to all mailboxes without a signed-in user."
"d45fa9f8-36e5-4cd2-b601-b063c7cf9ac2","MailboxSettings.Read","Read all user mailbox settings","Allows the app to read user's mailbox settings without a signed-in user. Does not include permission to send mail."
"77e65b5a-ceae-48b3-9490-50a86a038a48","User.ReadBasic.All","Read all users' basic profiles","Allows the app to read a basic set of profile properties of other users in your organization on behalf of the signed-in user. This includes display name, first and last name, email address and photo."
"bf24470f-10c1-436d-8d53-7b997eb473be","User.Read.All","Read all users' full profiles","Allows the app to read the full set of profile properties, reports, and managers of other users in your organization, on behalf of the signed-in user."
"f7264778-fba9-422d-8e9e-2675a2c4b513","Mailbox.Migration","Move mailboxes between organizations","Application permission grants permission to move mailboxes between Office365 organizations"
"15f260d6-f874-4366-8672-6b3658c5a09b","Organization.Read.All","Organization.Read.All","Allows the app to read the organization and related resources, on behalf of the signed-in user. Related resources include things like subscribed SKUs and tenant branding information."
"5e5addcd-3e8d-4e90-baf5-964efab2b20a","IMAP.AccessAsApp","IMAP.AccessAsApp","Allow application to access user’s mailbox via IMAP protocol"
"cb842b43-da6e-4506-86fe-bb12199c656d","POP.AccessAsApp","POP.AccessAsApp","Allow application to access user’s mailbox via POP protocol"
"c976971c-a54d-4835-a240-2479e3dac74a","Organization.ReadWrite.All","Organization.ReadWrite.All","Allows the app to read and write the organization and related resources, on behalf of the signed-in user. Related resources include things like subscribed SKUs and tenant branding information."
"b4d5a5c7-c085-487f-b922-ef0d6ebde6b1","ReportingWebService.Read.All","ReportingWebService.Read.All","Download all reports via the Office 365 reporting web service"
"7146a1f0-8703-45b3-9eae-527a64c00995","SMTP.SendAsApp","Application access for sending emails via SMTP AUTH","Allows the app to have send access to all mailboxes"
"789ef6b5-4ecc-4f61-b6b3-66ef3109173c","PeopleSettings.Read.All","Read all tenant-wide people settings","Allows the application to read tenant-wide people settings without a signed-in user."
"98ed40ef-611a-4479-bd35-eaa7863e946a","PeopleSettings.ReadWrite.All","Read and write all tenant-wide people settings","Allows the application to read and write tenant-wide people settings without a signed-in user."
"162b1576-a2b2-458d-b7b9-04481911b4ef","channels.readwrite","channels.readwrite","Allows the user to create channels"
"fb90b455-d8cb-43db-85c7-4985d8072ed3","teamtemplates.readwrite","teamtemplates.readwrite","Allows the user to create team templates"
"82d632fa-68b9-40ab-8c4f-f24986a057fa","teams.readwrite","Teams.ReadWrite","Allows the user to create Teams"
"5063317c-fd8e-4efd-94b8-60a68284f8c4","teams-internal.readwrite","teams-internal.readwrite","Allows the user to create and manage Teams and Channels"
"51f5aba9-144c-498b-9fe1-0b26c046ec08","Dataflow.AccessAsWellKnownClient.All","Dataflow.AccessAsWellKnownClient.All","Grants WellKnown application capabilities"
"95aeaba8-4a57-4e56-90a4-59d203050155","Connections.AccessAppOnlyTokenProvider.All","Connections.AccessAppOnlyTokenProvider.All","Grants the use of the AppOnlyTokenProvider"
"03c0694c-a8f0-451e-a114-eaf90f6b178f","EvaluatorApi.AccessAsWellKnownClient.All","EvaluatorApi.AccessAsWellKnownClient.All","Declare the client as well known"
"3438898e-1b63-4276-bc81-84a61abeeb2c","Mashup.Evaluate","Mashup.Evaluate","Evaluate M queries"
"2dbb57c8-3461-4859-9577-f871158be1c7","PowerPlatformDataflowsDataverseApi.ReadWrite.All","PowerPlatformDataflowsDataverseApi.ReadWrite.All","Allows Dataverse read and write access to Power Platform Dataflows using S2S app only token"
"122be7f0-6f45-4d5d-8fe6-c92b9bae636d","Testing.NoOp.All","Testing.NoOp.All","Testing.NoOp.All (Internal)"
"6ee71d64-f037-41c8-a304-0da50cb763e3","EvaluatorApi.AccessAsUser.All","EvaluatorApi.AccessAsUser.All","Gives the ability to call the api evaluator route with an S2S token and User and Tenant headers for the actual user"
"8b009198-76cd-4d24-89d8-e12ac56fd300","PowerPlatformDataflowApi.ReadWrite.All","PowerPlatformDataflowApi.ReadWrite.All","Allow read and write access to Power Platform Dataflows public APIs using S2S app only token"
"8aae893a-9dce-48ba-b1eb-2f1faeeb80a5","DocumentApi.AccessAsUser.All","DocumentApi.AccessAsUser.All","DocumentApi.AccessAsUser.All (Internal)"
"4f9439ec-3c94-45dc-9fa4-f18ff1e22bc9","DataflowLoadToCds.ReadWrite.All","DataflowLoadToCds.ReadWrite.All","DataflowLoadToCds.ReadWrite.All (Internal)"
"3fab587f-736d-457e-822a-b3f1427a1296","WindowsUpdates.ReadWrite.All","Read and write access to all deployments and policies.","Allows the app to read and write all deployments and policies."
"02deb410-0188-4e4c-932b-5b4f0ba4780c","WindowsUpdates.Read.All","Read access to all deployments and policies.","Allows the app to read all deployments and policies."
"e1112bee-144a-4e8d-bb96-5c78d62e7cc7","DeploymentConfiguration.Read.All","Read access to all deployments and policies.","Allows the app to read all deployments and policies."
"f024c79d-b932-43eb-a013-ecb589ce3379","DeploymentConfiguration.ReadWrite.All","Read and write access to all deployments and policies.","Allows the app to read and write all deployments and policies."
"e2159836-d709-4343-a518-8bb0e5744afa","VNET.Read.All","VNET.Read.All","Allows data plane access to all VNETs on the system"
"9b5904c8-49e7-4d21-81c0-118a2a9c7d81","MDLRest.Read","MDLRest.Read","Read Access To MDLRest APIs"
"bd79113c-40b8-4608-8c47-994bf0c2853d","MDLRest.ReadWrite","MDLRest.ReadWrite","Read Write Access To MDLRest APIs"
"6ee71d64-f037-41c8-a304-0da50cb763e3","EvaluatorApi.AccessAsUser.All","EvaluatorApi.AccessAsUser.All","Gives the ability to call the api evaluator route with an S2S token and User and Tenant headers for the actual user"
"8aae893a-9dce-48ba-b1eb-2f1faeeb80a5","DocumentApi.AccessAsUser.All","DocumentApi.AccessAsUser.All","DocumentApi.AccessAsUser.All (Internal)"
"aa57d559-2448-4fd4-b44b-358c1c7e0301","DataflowLoadToCds.ReadWrite.All","DataflowLoadToCds.ReadWrite.All","DataflowLoadToCds.ReadWrite.All (Internal)"
"6c2d1b1d-a490-4178-ba6b-7efceda9129b","Policy.Read.All","Read your organization's policies","Allows the app to read all your organization's policies without a signed-in user. "
"5778995a-e1bf-45b8-affa-663a9f3f4d04","Directory.Read.All","Read directory data","Allows the app to read data in your company or school directory, such as users, groups, and apps."
"abefe9df-d5a9-41c6-a60b-27b38eac3efb","Domain.ReadWrite.All","Read and write domains","Allows the app to read and write all domain properties without a signed in user.  Also allows the app to add,  verify and remove domains."
"78c8a3c8-a07e-4b9e-af1b-b5ccab50a175","Directory.ReadWrite.All","Read and write directory data","Allows the app to read and write data in your company or school directory, such as users, and groups.  Does not allow user or group deletion."
"1138cb37-bd11-4084-a2b7-9f71582aeddb","Device.ReadWrite.All","Read and write devices","Allows the app to read and write all device properties without a signed in user.  Does not allow device creation, device deletion or update of device alternative security identifiers."
"9728c0c4-a06b-4e0e-8d1b-3d694e8ec207","Member.Read.Hidden","Read all hidden memberships","Allows the app to read the memberships of hidden groups and administrative units without a signed-in user."
"824c81eb-e3f8-4ee6-8f6d-de7f50d565b7","Application.ReadWrite.OwnedBy","Manage apps that this app creates or owns","Allows the app to create other applications, and fully manage those applications (read, update, update application secrets and delete), without a signed-in user.  It cannot update any apps that it is not an owner of."
"1cda74f2-2616-4834-b122-5cb1b07f8a59","Application.ReadWrite.All","Read and write all applications","Allows the app to create, read, update and delete applications and service principals without a signed-in user.  Does not allow management of consent grants."
"3afa6a7d-9b1a-42eb-948e-1650a849e176","Application.Read.All","Read all applications","Allows the app to read applications and service principals without a signed-in user"
"48b480b5-d7d4-4d89-a415-ba49b989518d","callevents.write","callevents.write","This allows other apps to call the callevents apis without a signed in user."
"7b307ce5-1a3c-4a39-861b-ee5bf8a58941","User.Read.All","User.Read.All","User.Read.All"
"925d5331-83ad-4bb7-ac7c-a78de52131ef","CompliancePolicy-Internal.ReadWrite","CompliancePolicy-Internal.ReadWrite","CompliancePolicy-Internal.ReadWrite"
"338446c9-b981-47d7-a96b-3e02921beace","UnifiedPolicy.Tenant.Read","UnifiedPolicy.Tenant.Read","UnifiedPolicy.Tenant.Read"
"4d1c58d6-39af-4926-8475-e2c468f9578e","ReadWrite","Read/Write","Read/Write access to Teams Entitlement API"
"372686f0-6494-4ca7-a0b5-253958e807a8","DtasGroup.ReadWrite.All","Read and write all group information","Allows the app to read and update group information in your organization."
"16beb6e1-c277-4b64-97fa-5c90295a5c84","basicuser","Basic user","Can only access the things made available to them by their organization."
"cf498509-9a5c-4d83-aa26-2b70fcbd0e1c","basicpurchaser","Basic purchaser","Can buy products for inventory, assign and reclaim licenses."
"f75b6470-490d-4b7b-a084-15d2f79fcd26","bspadmin","Administrator","Has all the permissions of Purchaser. Can also grant access, set permission levels, and change all settings and configurations."
"20220577-b1fd-4061-bfed-05a068857ffc","bsppurchaser","Purchaser","Can buy products for inventory, assign and reclaim licenses."
"4c7bcbe9-70eb-42d2-a8b1-a66d985811c3","deviceguardsigner","Device Guard signer","Has access to the device guard signing page, can sign policies and catalogs."
"e4c00fbe-aea4-4c3b-b803-335d512be9d6","bspmdm","Management Tool","A configured management tool can distribute app licenses that have been acquired in the Windows Store for Business Portal to users and devices within an organization."
"d07a8cc0-3d51-4b77-b3b0-32704d1f69fa","AccessReview.Read.All","Read all access reviews","Allows the app to read access reviews, reviewers, decisions and settings in the organization, without a signed-in user."
"ef5f7d5c-338f-44b0-86c3-351f46c8bb5f","AccessReview.ReadWrite.All","Manage all access reviews","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization, without a signed-in user."
"18228521-a591-40f1-b215-5fad4488c117","AccessReview.ReadWrite.Membership","Manage access reviews for group and app memberships","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization for group and app memberships, without a signed-in user."
"8c0aed2c-0c61-433d-b63c-6370ddc73248","Acronym.Read.All","Read all acronyms","Allows an app to read all acronyms without a signed-in user."
"134fd756-38ce-4afd-ba33-e9623dbe66c2","AdministrativeUnit.Read.All","Read all administrative units","Allows the app to read administrative units and administrative unit membership without a signed-in user."
"5eb59dd3-1da2-4329-8733-9dabdc435916","AdministrativeUnit.ReadWrite.All","Read and write all administrative units","Allows the app to create, read, update, and delete administrative units and manage administrative unit membership without a signed-in user."
"aec9e0a0-6f46-4150-a9f7-05e9e3e87399","AgentCard.Read.All","Read all agent cards in Agent Registry","Allows the app to read all agent cards and their skills in your organization's Agent Registry without a signed-in user."
"ef566853-42d6-45a5-bed9-5ccb82c98b4f","AgentCard.ReadWrite.All","Read and write all agent cards in Agent Registry","Allows the app to create, read, update, and delete all agent cards and manage their skills in your organization's Agent Registry without a signed-in user."
"9c4a07db-e0c1-4fb0-8e85-dfd8ae3b8201","AgentCard.ReadWrite.ManagedBy","Read and write managed-by agent cards in Agent Registry","Allows the app to read and update agent cards that designate the calling app as their manager and manage their skills in your organization's Agent Registry without a signed-in user."
"3ee18438-e6e5-4858-8f1c-d7b723b45213","AgentCardManifest.Read.All","Read all agent card manifests in Agent Registry","Allows the app to read all agent card manifests in your organization's Agent Registry without a signed-in user."
"228b1a03-f7ca-4348-b50d-e8a547ab61af","AgentCardManifest.ReadWrite.All","Read and write all agent card manifests in Agent Registry","Allows the app to read and write to all agent card manifests in your organization's Agent Registry without a signed-in user."
"77f6034c-52f5-4526-9fa1-d55a67e72cc4","AgentCardManifest.ReadWrite.ManagedBy","Read and write managed-by agent card manifests in Agent Registry","Allows the app to read and write agent card manifests that name it as manager in your organization's Agent Registry without a signed-in user."
"e65ee1da-d1d5-467b-bdd0-3e9bb94e6e0c","AgentCollection.Read.All","Read all collections in Agent Registry","Allows the app to read all collections and their membership in your organization's Agent Registry without a signed-in user."
"feb31d7d-a227-4487-898c-e014840d07b3","AgentCollection.ReadWrite.All","Read and write all collections in Agent Registry","Allows the app to create, read, update, and delete all collections and manage their membership in your organization's Agent Registry without a signed-in user."
"2e0fb698-9996-479f-926b-ce63f4397829","AgentCollection.ReadWrite.ManagedBy","Read and write managed-by collections in Agent Registry","Allows the app to create, read, update, and delete collections that designate the calling app as their manager and manage their membership in your organization's Agent Registry without a signed-in user."
"ad25cc1d-84d8-47df-a08e-b34c2e800819","AgentIdentity.Create.All","Create agent identities without an agent blueprint parent","Allows the app to create agent identities, even if the app is not the parent agent identity blueprint."
"4c390976-b2b7-42e0-9187-c6be3bead001","AgentIdentity.CreateAsManager","Create agent identities linked to itself.","Allows the app to create linked agent identities without a signed-in user."
"5b016f9b-18eb-41d4-869a-66931914d1c8","AgentIdentity.DeleteRestore.All","Delete and restore agent identities","Allows the app to delete and restore agent identities without a signed-in user."
"69ee0943-4fa4-4ec8-8e52-d12e4ea661a3","AgentIdentity.EnableDisable.All","Enable or disable agent identities","Allows the app to enable or disable agent identities without a signed-in user."
"b2b8f011-2898-4234-9092-5059f6c1ebfa","AgentIdentity.Read.All","Read all agent identities","Allows the app to read all agent identities without a signed-in user."
"dcf7150a-88d4-4fe6-9be1-c2744c455397","AgentIdentity.ReadWrite.All","Read and write all agent identities","Allows the app read, update, and delete agent identities without a signed-in user."
"0510736e-bdfb-4b37-9a1f-89b4a074763a","AgentIdentityBlueprint.AddRemoveCreds.All","Update agent identity blueprint credentials","Allows updating agent identity blueprint credentials without a signed-in user."
"ea4b2453-ad2d-4d94-9155-10d5d9493ce9","AgentIdentityBlueprint.Create","Create agent identity blueprints.","Allows creating new agent identity blueprints without a signed-in user."
"3f80b699-6405-4e36-a4df-4f19950ff91e","AgentIdentityBlueprint.DeleteRestore.All","Delete and restore agent identity blueprints.","Allows deleting or restoring agent identity blueprints without a signed-in user."
"7547a7d1-36fa-4479-9c31-559a600eaa4f","AgentIdentityBlueprint.Read.All","Read all agent identity blueprints","Allows the app to read all agent identity blueprints without a signed-in user."
"7fddd33b-d884-4ec0-8696-72cff90ff825","AgentIdentityBlueprint.ReadWrite.All","Read and write all agent identity blueprints.","Allows the app to read, update, and delete agent identity blueprints without a signed-in user."
"19202363-278e-49c2-bf00-391e2ba00881","AgentIdentityBlueprint.UpdateAuthProperties.All","Update agent identity blueprint authorization and authentication properties","Allows updating agent identity blueprint authorization and authentication properties without a signed-in user."
"76232daa-a1e4-4544-b664-495a006513bf","AgentIdentityBlueprint.UpdateBranding.All","Update agent identity blueprint branding","Allows updating agent identity blueprint branding without a signed-in user."
"8959696d-d07e-4916-9b1e-3ba9ce459161","AgentIdentityBlueprintPrincipal.Create","Create agent identity blueprint service principals.","Allows creating new agent identity blueprint principals without a signed-in user."
