"Id","Value","AdminConsentDisplayName","AdminConsentDescription"
"a248f402-c66c-43c5-87b7-f1bcb63d5541","Organization.Read","Access the Office People API","Allow access the Office People API"
"9beac4c9-e7ab-4507-9600-1f78e7d6097e","Files.ReadWrite","Access the Office People API","Allow access the Office People API"
"edf06819-0880-47c0-9c24-174df5ca7ead","Whiteboards.ReadWrite","Read and write users' whiteboards","Allows the app to read and write signed-in user's whiteboards."
"4e5661b3-5a0d-47fc-b7a6-e5b659cfea8b","user_impersonation","Access Fiji Storage","Allow the application to access Fiji Storage on behalf of the signed-in user."
"c65f274d-9690-45ee-a2ec-09e1e1f81bcd","NetworkScanAgent.Manage","NetworkScanAgent.Manage","This allows users to install a new MDATP network scan agent"
"04d2d44f-432b-4f9b-be28-cb651a028099","user_impersonation","Access Connections Service Api","Access Connections Service Api"
"898f9f5d-bf7c-4bf5-97ed-39cda772c50a","PushChannel.ReadWrite.All","Connect to PushChannel","Allows the user to connect to PushChannel for Fluid applications"
"ff7ac806-f9c8-40b6-b133-f3412d436c54","User.Read.All","User.Read.All","Scope to read user content for reuse scenarios via this app (shredder service)"
"96d4258f-9187-4e6c-b031-724e789b9323","shredder.files.read","Shredder.Files.Read","Permission to read files via shredder service"
"030ecff8-f6dd-4406-a014-0cce6836cf54","access_as_user","Office can act as the user","Enable Office to call the add-in's web APIs with the same rights as the current user."
"1a8d204a-10fb-4da1-a303-17497f914fbc","Conversations.Access","Access Sherlock Conversations API as organization users","Allows the application to access Sherlock Conversations API acting as users in the organization."
"b80e6cec-e423-411f-8c98-7fe5a25ca7cf","M365ContentExplorer.Read.All","M365ContentExplorer.Read.All","This allows user to read M365ContentExplorer"
"739f66f6-655e-48e4-b5bd-2bbeb6077954","Purview.DataAccess.All","Purview.DataAccess.All","Purview.DataAccess.All"
"384a8502-84c5-41d9-a875-7834b77c8005","RbacAccessCheck.read","RbacAccessCheck.read","This Allows User to read the Rbac Roles"
"6f44fc23-ea08-4666-8329-85597e11bdcd","mtproleinfo.read","mtproleinfo.read","This allows user to read MtpRoleInfo"
"6b300195-82d7-4a39-a7bc-0510371998cc","alert.read","alert.read","This allows user to read Office 365 alerts."
"bcc2bc0d-d08c-412a-b24d-f6f78d714bdc","alert.write","alert.write","This allows user to change Office 365 alerts."
"edfd2d1c-b4b5-4b83-b5e8-c38594e49c26","RbacTenantStatus.Read","RbacTenantStatus.Read","RbacTenantStatus.Read"
"4e26c42d-fab0-4daa-9ea6-d860a28aa7d0","RbacTenantStatus.Write","RbacTenantStatus.Write","RbacTenantStatus.Write"
"06ab0d31-7112-476e-a479-66394bec63d6","MessageTrace.Read.All","MessageTrace.Read.All","MessageTrace.Read.All"
"3e4e080e-55db-4fa9-8d68-0d9199d4c792","QuarantinedMessage.Read.All","QuarantinedMessage.Read.All","QuarantinedMessage.Read.All"
"cc02f7ae-3d9b-42c9-bc91-3424d92c5547","AirAdminAction.tenant.read","AirAdminAction.tenant.read","This allows the app to read AirAdminAction alerts"
"43f2aa58-36d7-421e-8628-fbe9b129bf76","AirAdminAction.tenant.write","AirAdminAction.tenant.write","This allows apps to write the AirAdminAction alerts"
"27787a44-0423-4f0d-a417-1276c93397fb","TenantLicenseStatus.Read.All","TenantLicenseStatus.Read.All","TenantLicenseStatus.Read.All"
"b87cb2cc-0570-4e76-9606-3528d5fb44e7","AtpStandardPolicy.Tenant.Read","AtpStandardPolicy.Tenant.Read","AtpStandardPolicy.Tenant.Read"
"9945d5be-d9cb-45d0-b347-3f827c0d374d","AtpStandardPolicy.Tenant.Write","AtpStandardPolicy.Tenant.Write","AtpStandardPolicy.Tenant.Write"
"2da9421b-01d5-43ec-9c8e-b1bfa4a8b2bb","LabelAnalyticsActivityData.Read.All","LabelAnalyticsActivityData.Read.All","LabelAnalyticsActivityData.Read.All"
"91d6f071-cbcb-48b9-baba-557f0f1f41aa","user_impersonation","Have full access to Apps Data Layer","allows the application full access to Apps Data Layer on behalf of signed in user"
"82987c10-ac16-48d3-b669-d36aeb2dc107","Presence.ReadWrite.All","Presence.ReadWrite.All","Allows Teams services to access IC3 presence services"
"67ba8dc6-51b8-40a0-8698-18e37c3af185","Media.ReadWrite.All","Media.ReadWrite.All","Allows Teams services to access IC3 media services"
"a92fc7a2-69b7-4fc5-a88d-0e83e81e9aa4","Messaging.ReadWrite.All","Messaging.ReadWrite.All","Allows Teams services to access IC3 messaging services"
"c7732f40-4b7c-448a-aa2b-2362e39c34f6","Teams.AccessAsUser.All","Teams.AccessAsUser.All","Allows Teams services to access IC3 services"
"adf25b63-87ed-435f-ba44-639541c169fe","profile","View users' basic profile","Allows the app to see your users' basic profile (name, picture, user name)"
"42606eff-0da1-40e5-b0ab-868ba1dfc10b","offline_access","Maintain access to data that users have given it access to","Allows the app to see and update the data you gave it access to, even when users are not currently using the app. This does not give the app any additional permissions."
"d67b846a-9745-4837-9e49-ff8ff0e34f35","User.Read","Sign you in and read your profile","Allows users to sign-in to the app, and allows the app to read the profile of signed-in users. It also allows the app to read basic company information of signed-in users."
"fa99693d-89af-4d46-bc2c-696037d9a4bf","openid","Sign users in","Allows users to sign in to the app with their work or school accounts and allows the app to see basic user profile information."
"0247a849-dbd6-40e7-9446-1bdabcf1a690","access_as_user","Office can act as the user","Enable Office to call the add-in's web APIs with the same rights as the current user"
"69d6493a-7724-4df5-8488-0657fa98b121","Sites.ReadWrite.All","Read and write items in all site collections","Allows the app to edit or delete documents and list items in all site collections on behalf of the signed-in user."
"0d7005c0-855a-485a-9d5b-5676f80a4a04","Notifications.Write","Notifications.Write","To allow application to send notifications to Azure AD provisioning service"
"adc8f5c3-8d1a-4a2c-a663-86394f307a24","TenantUser.ReadWrite","TenantUser.ReadWrite","this allows to read and write tenant and user data"
"44d6b5f2-d42b-4fa7-b999-1c5fcab98e4d","Exchange.ManageV2","Manage Exchange configuration v2","Allows the app to manage a limited set of Exchange Online configuration objects via the adminapi/v2.0 endpoint. This permission is intended for specific scenarios and requires appropriate Exchange RBAC role assignments."
"d056cee4-aed2-4aa4-b2a9-292fe18b06d2","OPX.MyDay.All","OPX.MyDay.All","This allows application to host MyDay Owa powered experience for both user and shared mailbox and calendar"
"405782ba-4062-4ea3-bd33-f7c731841e3b","OPX.MyDay.Shared","OPX.MyDay.Shared","This allows application to host MyDay Owa powered experience for shared mailbox and calendar"
"8cac6046-ce43-4348-855c-efd9d956b7bf","OPX.MyDay","OPX.MyDay","This allows the application to host MyDay Owa powered experience"
"195adc35-e27b-454b-a7ed-1ecdffa1c09f","IMAP.AccessAsUser.All","Read and write access to your mail via IMAP","Allows the app to have the same access to mailboxes as the signed-in user via IMAP protocol."
"76faac2a-0f20-42f1-928a-50de5b9dbe52","SMTP.Send","Access to sending emails from your mailbox  using SMTP  AUTH","Allows the app to be able to send emails from the user’s mailbox using the SMTP AUTH client submission protocol."
"fb698133-92fa-453e-a9ed-688e10f2e5ac","POP.AccessAsUser.All","Read and write access to your mail via POP","Allows the app to have the same access to mailboxes as the signed-in user via POP protocol."
"43ed0a33-2264-4716-b3bd-c5d8e248eebf","Place.Read.All","Read all company places","Allows the app to read your company's places (conference rooms and room lists) for calendar events and other applications, on behalf of the signed-in user."
"266d2589-20b5-4f91-9a03-89247d1be8da","EAS.AccessAsUser.All","Access mailboxes via Exchange ActiveSync","Allows the app to have the same access to mailboxes as the signed-in user via Exchange ActiveSync."
"ad13ac2e-ad46-4dc0-b7da-249c94395a6d","Mail.Read.All","Read user and shared mail ","Allows the app to read mail a user can access, including their own and shared mail."
"140e747e-90d3-4de0-8618-85a0cc7a1129","Mail.ReadWrite.All","Read and write user and shared mail ","Allows the app to create, read, update, and delete mail a user has permission to access, including their own and shared mail. Does not include permission to send mail."
"e843bc88-e493-446d-a73c-0ded7ff1913f","Mail.Send.All","Send mail on behalf of others","Allows the app to send mail as the signed-in user, including sending on-behalf of others."
"da710fc9-1e83-407b-8c5c-09d225031769","Calendars.Read.All","Read user and shared calendars ","Allows the app to read events in all calendars that the user can access, including delegate and shared calendars."
"bbd1ca91-75e0-4814-ad94-9c5dbbae3415","Calendars.ReadWrite.All","Read and write user and shared calendars ","Allows the app to create, read, update and delete events in all calendars in the organization user has permissions to access. This includes delegate and shared calendars."
"d660a04c-7b62-4b4c-bea3-89226df00142","Contacts.Read.All","Read user and shared contacts ","Allows the app to read contacts a user has permissions to access, including their own and shared contacts."
"44882612-f346-430a-b938-4f00ee1c77a7","Contacts.ReadWrite.All","Read and write user and shared  contacts ","Allows the app to create, read, update, and delete contacts a user has permissions to, including their own and shared contacts."
"2e83d72d-8895-4b66-9eea-abb43449ab8b","MailboxSettings.ReadWrite","Read and write user mailbox settings","Allows the app to create, read, update, and delete user's mailbox settings. Does not include permission to send mail."
"6b49b74d-642f-4417-a6b4-820576845707","Tasks.ReadWrite","Create, read, update and delete user tasks ","Allows the app to create, read, update and delete user tasks "
"8af8046f-5694-470f-91e4-d47ad05eda18","Tasks.Read","Read user tasks","Allows the app to read user tasks"
"ab4f2b77-0b06-4fc1-a9de-02113fc2ab7c","Exchange.Manage","Manage Exchange configuration","Allows the app to manage the organization's Exchange environment, such as mailboxes, groups, and other configuration objects. To enable management actions, an admin must assign the appropriate roles to the app user."
"a88daf86-d44d-4077-8258-54131dd44e5d","People.ReadWrite","Read and write users' relevant people lists (preview)","Allows the app to create, read and write to the ranked list of relevant people of the signed-in user. The list includes local contacts, contacts from social networking, your organization's directory, and people from recent communications (such as email and Skype)."
"9478ac54-3753-4543-b95a-4fad24978902","People.Read","Read users' relevant people lists (preview)","Allows the app to read a ranked list of relevant people of the signed-in user. The list includes local contacts, contacts from social networking, your organization's directory, and people from recent communications (such as email and Skype)."
"6222dbab-a24c-4210-9d91-2f47cf565614","User.ReadBasic.All","Read all users' basic profiles","Allows the app to read a basic set of profile properties of users in your company or school on behalf of the signed-in user. Includes display name, photo, and email address."
"f9408c03-bd3d-48c4-8bee-17a72d20bd9c","User.ReadWrite","Read and write user profiles","Allows the app to create, read, and write a set of the current user's profile properties in your company or school. Includes display name, photo, and email address."
"6223a6d3-53ef-4f8f-982a-895b39483c61","User.Read","Read user profiles","Allows the app to read a set of the current user's profile properties in your company or school. Includes display name, photo, and email address."
"27235839-268c-4d68-a668-351401ff623a","Group.ReadWrite.All","Read and write all groups (preview)","Allows the app to read group properties. Additionally allows the app to update group properties for groups the signed-in user owns. Also allows the app to read and write group calendar and conversations on public groups and groups the signed-in user is a member of."
"b5c79e22-9bf2-42d7-b60d-1b95c11ebc66","Group.Read.All","Read all groups (preview)","Allows the app to read group properties on behalf of the signed-in user, and read group calendar and conversations on public groups and groups the signed in user is a member of."
"32253599-e142-4cf0-810d-4827eedd1cfa","Contacts.ReadWrite","Read and write user contacts","Allows the app to create, read, update, and delete user contacts."
"181aac24-028a-486e-a649-b3742c74ec71","Contacts.Read","Read user contacts","Allows the app to read user contacts."
"765f423e-b55d-412e-97e3-13a800c3a537","Calendars.ReadWrite","Read and write user calendars","Allows the app to create, read, update, and delete events in user calendars."
"5b9be81f-2977-4d27-8faf-bb43af8fc705","Calendars.Read","Read user calendars","Allows the app to read events in user calendars."
"5eb43c10-865a-4259-960a-83946678f8dd","Mail.Send","Send mail as a user","Allows the app to send mail as users in the organization."
"75767999-c7a8-481e-a6b4-19458e0b30a5","Mail.ReadWrite","Read and write user mail","Allows the app to create, read, update, and delete email in user mailboxes. Does not include permission to send mail."
"185758ba-798d-4b72-9e54-429a413a2510","Mail.Read","Read user mail","Allows the app to read email in user mailboxes."
"2915e980-bca5-4194-9a3f-71c4ccdbd77b","Tasks.ReadWrite.Shared","Create, read, update and delete all tasks a user has access to","Allows the app to create, read, update and delete all tasks a user has access to"
"3d5e9942-27d3-4e96-80b1-696c7a3369c1","Tasks.Read.Shared","Read all tasks a user has access to","Allows the app to read all tasks a user has access to"
"d6aa6fa9-3360-416a-b8db-021249d58e86","Contacts.Read.Shared","Read user and shared contacts ","Allows the app to read contacts a user has permissions to access, including their own and shared contacts."
"c54cba4f-60fe-4332-b0de-b5990fd1999e","Contacts.ReadWrite.Shared","Read and write user and shared  contacts ","Allows the app to create, read, update, and delete contacts a user has permissions to, including their own and shared contacts."
"1d894596-c906-42b1-8422-9360440c1c0c","Mail.Read.Shared","Read user and shared mail ","Allows the app to read mail a user can access, including their own and shared mail."
"b09ec548-3f99-4d0a-859c-c9b7ff53b7a9","Mail.ReadWrite.Shared","Read and write user and shared mail ","Allows the app to create, read, update, and delete mail a user has permission to access, including their own and shared mail. Does not include permission to send mail."
"16572339-6149-452b-b084-280b01354687","Mail.Send.Shared","Send mail on behalf of others","Allows the app to send mail as the signed-in user, including sending on-behalf of others."
"4585ecca-5b47-432f-ac70-e1391e4951ed","Calendars.ReadWrite.Shared","Read and write user and shared calendars","Allows the app to create, read, update and delete events in all calendars in the organization user has permissions to access. This includes delegate and shared calendars."
"c21d8660-9de1-4404-85b6-59695921bd8d","Calendars.Read.Shared","Read user and shared calendars ","Allows the app to read events in all calendars that the user can access, including delegate and shared calendars."
"d36ad51d-15a2-458d-9b3a-16dbe4c51c30","MailboxSettings.Read","Read user mailbox settings ","Allows the app to read user's mailbox settings. Does not include permission to send mail."
"9b005f11-86f0-45f7-8c27-4fff5d849916","User.ReadBasic.All","Read all users' basic profiles","Allows the app to read a basic set of profile properties of other users in your organization on behalf of the signed-in user. This includes display name, first and last name, email address and photo."
"eb665d05-7f76-4d1b-b176-1cfc814e668d","User.Read.All","Read all users' full profiles","Allows the app to read the full set of profile properties, reports, and managers of other users in your organization, on behalf of the signed-in user."
"3b5f3d61-589b-4a3c-a359-5dd4b5ee5bd5","EWS.AccessAsUser.All","Access mailboxes as the signed-in user via Exchange Web Services","Allows the app to have the same access to mailboxes as the signed-in user via Exchange Web Services."
"1b69a6c3-108d-42d0-a3ec-fafcd610e80b","Notes.ReadWrite","Create, read, update and delete user notes","Allows the app to create, read, update and delete user notes"
"505d82a7-24f3-4632-bffc-4d21625b31de","Notes.Read","Read user notes","Allows the app to read user notes"
"dab085de-3e14-432f-a47f-84b6457059c4","Mail.ReadBasic","Read user basic mail","Allows the app to read the signed-in user's mailbox except body, previewBody, attachments and any extended properties."
"1d490c92-d2ca-4a30-b52e-6edf5f279f4d","Organization.Read.All","Organization.Read.All","Allows the app to read the organization and related resources, on behalf of the signed-in user. Related resources include things like subscribed SKUs and tenant branding information."
"17f07f5d-fb80-4278-ba37-70ae04d476a3","Organization.ReadWrite.All","Organization.ReadWrite.All","Allows the app to read and write the organization and related resources, on behalf of the signed-in user. Related resources include things like subscribed SKUs and tenant branding information."
"bbbcc29c-7bd7-48f0-8c8b-ef5f9865b626","ReportingWebService.Read","ReportingWebService.Read","Download reports via the Office 365 reporting web service"
"5430838e-68e7-4b12-b353-06478ace39c3","PeopleSettings.ReadWrite.All","Read and write tenant-wide people settings","Allows the application to read and write tenant-wide people settings on behalf of the signed-in user."
"e1eeeffa-b5a5-4b80-ae8f-ccb93d4b75eb","PeopleSettings.Read.All","Read tenant-wide people settings","Allows the application to read tenant-wide people settings on behalf of the signed-in user."
"162b1576-a2b2-458d-b7b9-04481911b4ef","channels.readwrite","channels.readwrite","Allows the user to create channels"
"fb90b455-d8cb-43db-85c7-4985d8072ed3","teamtemplates.readwrite","teamtemplates.readwrite","Allows the user to create team templates"
"82d632fa-68b9-40ab-8c4f-f24986a057fa","teams.readwrite","Teams.ReadWrite","Allows the user to create Teams"
"5063317c-fd8e-4efd-94b8-60a68284f8c4","teams-internal.readwrite","teams-internal.readwrite","Allows the user to create and manage Teams and Channels"
"b91bb452-4b7f-43ac-98b7-fb77c1bc0cd3","Dataflow.ReadWrite","Dataflow.ReadWrite","CRUD operations on Dataflow"
"28ad3777-4e07-48f5-8ecb-324389487993","Dataflow.Read","Dataflow.Read","Read operations on Dataflow"
"355208ec-0e9f-4bf8-96a4-6d349d4823f5","Dataflow.Evaluate","Dataflow.Evaluate","Evaluation (Refresh) of Dataflow"
"30626504-99be-4341-8682-c4d047f88248","EvaluatorApi.AccessAsUser","EvaluatorApi.AccessAsUser","Gives the ability to call the api evaluator route with a user token"
"45f5a613-d4e9-4639-8423-f682525911a1","TableTransformationPlan.Create","TableTransformationPlan.Create","Create a new table transformation plan"
"8c4dd85b-a993-4034-b2b0-08e093385143","user_impersonation","Access Power Query Online","Allow the application to access Power Query Online on behalf of the signed-in user."
"c2fcc4d2-7ef5-45ac-a21d-fcb82e7d9fc2","Connections.ReadWrite","Connections.ReadWrite","Use and manage connections"
"4b99a07e-1b47-4c8b-8775-199c5fa09a95","EditingSession.ReadWrite","EditingSession.ReadWrite","Read and edit mashups"
"3438898e-1b63-4276-bc81-84a61abeeb2c","Mashup.Evaluate","Mashup.Evaluate","Evaluate M queries"
"89207a8a-fa24-4101-b973-725978114688","Testing.NoOp","Testing.NoOp","Testing.NoOp (Internal)"
"baab12c3-28f7-4c88-934b-23ffcaad424a","MashupProviderApi.Read","MashupProviderApi.Read","Use the ManagedProvider API for readonly operations"
"2843164f-ca31-473a-9198-ceaeb95e59b1","Sessions.ReadWrite.All","Sessions.ReadWrite.All","Allows the client application to create and execute sessions that user has access to"
"3fab587f-736d-457e-822a-b3f1427a1296","WindowsUpdates.ReadWrite.All","Read and write access to all deployments and policies.","Allows the app to read and write all deployments and policies."
"02deb410-0188-4e4c-932b-5b4f0ba4780c","WindowsUpdates.Read.All","Read access to all deployments and policies.","Allows the app to read all deployments and policies."
"e1112bee-144a-4e8d-bb96-5c78d62e7cc7","DeploymentConfiguration.Read.All","Read access to all deployments and policies.","Allows the app to read all deployments and policies."
"f024c79d-b932-43eb-a013-ecb589ce3379","DeploymentConfiguration.ReadWrite.All","Read and write access to all deployments and policies.","Allows the app to read and write all deployments and policies."
"9d4d9b26-9ecf-4796-ab43-702f556bc88c","VNET.ReadWrite","VNET.ReadWrite","Allows control plane operations of VNETs owned by the user"
"830bc8bc-f872-4624-8386-0013e444366d","AppleDeviceInfo.ReadWrite","AppleDeviceInfo.ReadWrite","Allow users to report info on their Apple Device."
"9b5904c8-49e7-4d21-81c0-118a2a9c7d81","MDLRest.Read","MDLRest.Read","Read Access To MDLRest APIs"
"bd79113c-40b8-4608-8c47-994bf0c2853d","MDLRest.ReadWrite","MDLRest.ReadWrite","Read Write Access To MDLRest APIs"
"baab12c3-28f7-4c88-934b-23ffcaad424a","MashupProviderApi.Read","MashupProviderApi.Read","Use the ManagedProvider API for readonly operations"
"3438898e-1b63-4276-bc81-84a61abeeb2c","Mashup.Evaluate","Mashup.Evaluate","Evaluate M queries"
"4b99a07e-1b47-4c8b-8775-199c5fa09a95","EditingSession.ReadWrite","EditingSession.ReadWrite","Read and edit mashups"
"c2fcc4d2-7ef5-45ac-a21d-fcb82e7d9fc2","Connections.ReadWrite","Connections.ReadWrite","Use and manage connections"
"863ec6c6-4b38-41ba-a117-fb3f24bd9643","user_impersonation","Access Power Query Online","Allow the application to access Power Query Online on behalf of the signed-in user."
"8d530000-db45-4c00-85fc-d2f328437d75","all.readwrite","All.ReadWrite","Allow read and write access to all APIs on Power Query Online"
"80e5b1bf-3ad0-4365-943a-0ec983009b67","Policy.Read.All","Read your organization's policies","Allows the app to read your organization's policies on behalf of the signed-in user."
"a42657d6-7f20-40e3-b6f0-cee03008a62a","Directory.AccessAsUser.All","Access the directory as the signed-in user","Allows the app to have the same access to information in the directory as the signed-in user."
"5778995a-e1bf-45b8-affa-663a9f3f4d04","Directory.Read.All","Read directory data","Allows the app to read data in your company or school directory, such as users, groups, and apps."
"78c8a3c8-a07e-4b9e-af1b-b5ccab50a175","Directory.ReadWrite.All","Read and write directory data","Allows the app to read and write data in your company or school directory, such as users, and groups.  Does not allow user or group deletion."
"970d6fa6-214a-4a9b-8513-08fad511e2fd","Group.ReadWrite.All","Read and write all groups","Allows the app to create groups on behalf of the signed-in user and read all group properties and memberships. Additionally, this allows the app to update group properties and memberships for the groups the signed-in user owns."
"6234d376-f627-4f0f-90e0-dff25c5211a3","Group.Read.All","Read all groups","Allows the app to read basic group properties and memberships on behalf of the signed-in user."
"c582532d-9d9e-43bd-a97c-2667a28ce295","User.Read.All","Read all users' full profiles","Allows the app to read the full set of profile properties of all users in your company or school, on behalf of the signed-in user. Additionally, this allows the app to read the profiles of the signed-in user's reports and manager."
"cba73afc-7f69-4d86-8450-4978e04ecd1a","User.ReadBasic.All","Read all users' basic profiles","Allows the app to read a basic set of profile properties of all users in your company or school on behalf of the signed-in user. Includes display name, first and last name, photo, and email address. Additionally, this allows the app to read basic info about the signed-in user's reports and manager."
"311a71cc-e848-46a1-bdf8-97ff7156d8e6","User.Read","Sign in and read user profile","Allows users to sign in to the app, and allows the app to read the profile of signed-in users. It also allow the app to read basic company information of signed-in users."
"2d05a661-f651-4d57-a595-489c91eda336","Member.Read.Hidden","Read hidden memberships","Allows the app to read the memberships of hidden groups and administrative units on behalf of the signed-in user, for those hidden groups and administrative units that the signed-in user has access to."
"902331d7-9647-4800-bf07-7965fac11f10","user_impersonation","Access virtual visits app","Allow the application to access Virtual Visits app on behalf of the signed-in user."
"d5b659cc-4375-466d-9c53-348d569b471a","User.Read","User.Read","User.Read"
"80692e1c-c3eb-439d-8ca4-ff20ad6cbb0e","CompliancePolicy-Internal.ReadWrite","CompliancePolicy-Internal.ReadWrite","CompliancePolicy-Internal.ReadWrite"
"5320cf34-4df3-4e6b-9727-fa69d3e2dd76","UnifiedPolicy.User.Read","UnifiedPolicy.User.Read","UnifiedPolicy.User.Read"
"17c38fce-d62f-4e61-85d1-d60852e316a2","branding.search","branding.search","Allows users to search for their custom branding information."
"e3fb1dc8-dea4-41fc-bfbe-1148f98e8821","IntuneAADEnterpriseApps.Read","Read AAD Enterprise Apps","Allows user to read their targeted AAD Enterprise apps"
"a4c5bee6-25ff-4bb5-b926-b7eb8062ae7a","mcp.tools","Access Dataverse MCP tools as organization users","Allows the application to access Dataverse MCP tools as organization users"
"78ce3f0f-a1ce-49c2-8cde-64b5c0896db4","user_impersonation","Access Common Data Service as organization users","Allows the application to access Common Data Service acting as users in the organization."
"03e0da56-190b-40ad-a80c-ea378c433f7f","user_impersonation","Access Azure Storage","Allow the application to access Azure Storage on behalf of the signed-in user."
"f8eea342-9a61-4a94-8a42-b6c3c20344a2","UserEngagementProfile.TestUser.Read","UserEngagementProfile.TestUser.Read","This allows test users to read user's Teams engagement profile on behalf of a user"
"f8e84a7f-f533-46ea-a292-b069e2d8f942","UserEngagementProfile.Read","UserEngagementProfile.Read","This allows apps to read user's Teams engagement profile on behalf of a user"
"02ce5515-6df6-47e3-b3a5-96dd4fc74f64","user_impersonation","Access to IoT DPS","Access to IoT DPS"
"148d3390-ac09-4e45-8bd9-13bf7773eebe","PoolUsage-Internal.Read","PoolUsage-Internal.Read","This allows app to read pool usage report on behalf of the signed-in user."
"851eaece-1eae-4715-9b2b-3be09f265017","License-Internal.Read","License-Internal.Read","This allows app to read license data on behalf of the signed-in user."
"a1c620f8-3d4b-4f68-b341-0453295b5faf","Dtas.Read.All","Dtas.Read.All","this allows the caller to read"
"12ac9457-f750-4888-ad15-ce3d94d63a85","Dtas.Write.All","Dtas.Write.All","this allows the caller to write"
"224b9be0-c9d3-42c2-83c6-737ae7db8ed6","Dtas.ReadWrite.All","Dtas.ReadWrite.All","this allows the caller to read and write"
"5f4a3deb-0300-4617-a571-1534720804bc","Dtas.All","Dtas.All","this allows caller for full access"
"56cee9a4-2b49-4d48-a5c1-b26a2e48aada","user_impersonation","Access Windows Store for Business","Allow the application to access Windows Store for Business on behalf of the signed-in user."
"30000000-aaaa-bbbb-cccc-100000000002","Assets.Read","Assets.Read","Allows user to view purchased products and subscriptions"
"ebfcd32b-babb-40f4-a14b-42706e83bd28","AccessReview.Read.All","Read all access reviews that user can access","Allows the app to read access reviews, reviewers, decisions and settings that the signed-in user has access to in the organization."
